team,code,players_used,matches_played,starts,minutes,nineties,goals_against,goals_against_per90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct
Algeria,dz,2,4,4,360,4.0,9,2.25,17,8,47.1,1,1,2,0,0.0
Argentina,ar,1,8,8,810,9.0,8,0.89,28,20,71.4,7,0,1,2,25.0
Australia,au,2,4,4,390,4.3,3,0.69,17,14,82.4,1,1,2,2,50.0
Austria,at,1,4,4,360,4.0,9,2.25,22,13,59.1,1,1,2,0,0.0
Belgium,be,2,6,6,570,6.3,7,1.11,23,16,69.6,3,2,1,1,16.7
Bosnia–Herz,ba,1,4,4,360,4.0,8,2.0,14,6,42.9,1,1,2,0,0.0
Brazil,br,1,5,5,450,5.0,4,0.8,18,14,77.8,3,1,1,2,40.0
Cabo Verde,cv,1,4,4,390,4.3,5,1.15,23,18,78.3,0,3,1,2,50.0
Canada,ca,1,5,5,450,5.0,6,1.2,12,6,50.0,2,1,2,2,40.0
Colombia,co,1,5,5,480,5.3,1,0.19,7,6,85.7,3,1,1,4,80.0
Congo DR,cd,1,4,4,360,4.0,5,1.25,19,14,73.7,1,1,2,0,0.0
Côte d'Ivoire,ci,1,4,4,360,4.0,4,1.0,13,9,69.2,2,0,2,2,50.0
Croatia,hr,1,4,4,360,4.0,7,1.75,17,10,58.8,2,0,2,1,25.0
Curaçao,cw,1,3,3,270,3.0,9,3.0,29,20,69.0,0,1,2,1,33.3
Czechia,cz,1,3,3,270,3.0,6,2.0,15,9,60.0,0,1,2,0,0.0
Ecuador,ec,1,4,4,360,4.0,4,1.0,13,9,69.2,1,1,2,1,25.0
Egypt,eg,1,5,5,480,5.3,7,1.31,19,12,63.2,2,2,1,0,0.0
England,eng,2,8,8,750,8.3,12,1.44,32,20,62.5,6,1,1,2,25.0
France,fr,1,8,8,720,8.0,10,1.25,22,12,54.5,6,0,2,4,50.0
Germany,de,1,4,4,390,4.3,5,1.15,10,5,50.0,2,0,2,0,0.0
Ghana,gh,2,4,4,360,4.0,3,0.75,19,16,84.2,1,1,2,2,50.0
Haiti,ht,1,3,3,270,3.0,8,2.67,19,11,57.9,0,0,3,0,0.0
IR Iran,ir,1,3,3,270,3.0,3,1.0,18,15,83.3,0,3,0,1,33.3
Iraq,iq,2,3,3,270,3.0,12,4.0,23,11,47.8,0,0,3,0,0.0
Japan,jp,1,4,4,360,4.0,5,1.25,17,12,70.6,1,2,1,1,25.0
Jordan,jo,1,3,3,270,3.0,8,2.67,16,8,50.0,0,0,3,0,0.0
Korea Republic,kr,1,3,3,270,3.0,3,1.0,12,9,75.0,1,0,2,0,0.0
Mexico,mx,2,5,5,450,5.0,3,0.6,11,8,72.7,4,0,1,4,80.0
Morocco,ma,1,6,6,570,6.3,6,0.95,20,14,70.0,4,1,1,2,33.3
Netherlands,nl,1,4,4,390,4.3,5,1.15,21,16,76.2,2,1,1,0,0.0
New Zealand,nz,1,3,3,270,3.0,10,3.33,21,11,52.4,0,1,2,0,0.0
Norway,no,2,6,6,570,6.3,11,1.74,31,20,64.5,4,0,2,0,0.0
Panama,pa,1,3,3,270,3.0,4,1.33,11,7,63.6,0,0,3,0,0.0
Paraguay,py,1,5,5,480,5.3,6,1.13,29,23,79.3,2,1,2,2,40.0
Portugal,pt,1,5,5,450,5.0,3,0.6,22,19,86.4,2,2,1,2,40.0
Qatar,qa,1,3,3,270,3.0,10,3.33,22,12,54.5,0,1,2,0,0.0
Saudi Arabia,sa,1,3,3,270,3.0,5,1.67,21,16,76.2,0,2,1,1,33.3
Scotland,sct,1,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3
Senegal,sn,2,4,4,390,4.3,9,2.08,21,12,57.1,1,0,3,1,25.0
South Africa,za,1,4,4,360,4.0,4,1.0,15,11,73.3,1,1,2,1,25.0
Spain,es,1,8,8,750,8.3,1,0.12,11,9,90.9,7,1,0,7,87.5
Sweden,se,2,4,4,360,4.0,10,2.5,24,14,58.3,1,1,2,0,0.0
Switzerland,ch,1,6,6,600,6.7,6,0.9,26,20,76.9,4,1,1,2,33.3
Tunisia,tn,2,3,3,270,3.0,12,4.0,18,6,33.3,0,0,3,0,0.0
Türkiye,tr,1,3,3,270,3.0,5,1.67,13,8,61.5,1,0,2,0,0.0
Uruguay,uy,2,3,3,270,3.0,4,1.33,8,4,50.0,0,2,1,0,0.0
USA,us,2,5,5,450,5.0,8,1.6,16,8,50.0,3,0,2,2,40.0
Uzbekistan,uz,2,3,3,270,3.0,11,3.67,17,6,35.3,0,0,3,0,0.0
