Rank,Player,Country,Position,Passes,Passes_Completed,Passing_Accuracy_Percent
3,Aymeric Laporte,ESP,DF,660,618,94
48,Tim Ream,USA,DF,298,281,94
80,Timothy Castagne,BEL,DF,263,230,87
143,Harry Souttar,AUS,DF,199,171,86
16,Nico Elvedi,SUI,DF,438,406,93
22,Pedro Porro,ESP,DF,420,379,90
118,Nathan Ngoy,BEL,DF,219,205,94
69,Douglas Santos,BRA,DF,275,256,93
72,Kristoffer Ajer,NOR,DF,273,256,94
13,Achraf Hakimi,MAR,DF,449,402,90
26,Ramy Bensebaini,ALG,DF,385,359,93
159,Reece James,ENG,DF,188,173,92
55,Chris Richards,USA,DF,291,277,95
152,Luc De Fougerolles,CAN,DF,191,170,89
15,Dayot Upamecano,FRA,DF,443,409,92
33,Davinson Sanchez,COL,DF,361,324,90
114,David Alaba,AUT,DF,222,198,89
42,Issa Diop,MAR,DF,326,299,92
135,Djed Spence,ENG,DF,201,177,88
151,Diney Borges,CPV,DF,195,158,81
47,Torbjorn Heggem,NOR,DF,301,282,94
28,Marquinhos,BRA,DF,380,367,97
157,Piero Hincapie,ECU,DF,189,160,85
8,Manuel Akanji,SUI,DF,479,444,93
143,Hiroki Ito,JPN,DF,199,178,89
115,Alessandro Circati,AUS,DF,221,177,80
83,Yasser Ibrahim,EGY,DF,260,239,92
124,Mbekezeli Mbokazi,RSA,DF,213,185,87
124,Daniel Munoz,COL,DF,213,194,91
12,Lisandro Martinez,ARG,DF,450,422,94
154,Hakan Calhanoglu,TUR,MF,190,171,90
37,Adrien Rabiot,FRA,MF,351,323,92
4,Leandro Paredes,ARG,MF,565,532,94
100,James Rodriguez,COL,MF,237,199,84
80,Manu Kone,FRA,MF,263,242,92
128,Mateo Kovacic,CRO,MF,208,198,95
19,Alexis Mac Allister,ARG,MF,430,393,91
135,Lewis Ferguson,SCO,MF,201,185,92
85,Youri Tielemans,BEL,MF,255,221,87
154,Lucas Paqueta,BRA,MF,190,162,85
73,Florian Wirtz,GER,MF,271,223,82
17,Neil El Aynaoui,MAR,MF,433,405,94
24,Vitinha,POR,MF,403,379,94
74,Idrissa Gana Gueye,SEN,MF,270,243,90
129,Eman Ashour,EGY,MF,207,176,85
157,Leroy Sane,GER,MF,189,161,85
43,Remo Freuler,SUI,MF,324,299,92
83,Aleksandar Pavlovic,GER,MF,260,240,92
138,Daichi Kamada,JPN,MF,200,170,85
79,Ayyoub Bouaddi,MAR,MF,264,237,90
49,Pedro Vite,ECU,MF,297,269,91
11,Pedri,ESP,MF,469,420,90
149,Teboho Mokoena,RSA,MF,196,176,90
41,Rodrigo De Paul,ARG,MF,327,300,92
113,Casemiro,BRA,MF,224,200,89
119,Alex Baena,ESP,MF,218,178,82
159,Franck Kessie,CIV,MF,188,165,88
52,Moises Caicedo,ECU,MF,295,264,89
31,Martin Odegaard,NOR,MF,367,322,88
107,Nicolas Raskin,BEL,MF,230,197,86
